Course #,Sec,Course Title,Credits,Faculty,DAYS,Start Time,End Time,Room,Remarks
MATH421,2,Numerical Analysis,3,Lara AbouOrm,T R,12:00:00 PM,1:15:00 PM,C Lab IV,
MECA440,1,Control System Design,3,Ahmad Koubeissi,M W,8:00:00 AM,9:15:00 AM,H003,
MECA441,1,Sensors and Actuators,3,Ahmad Koubeissi,T R,12:00:00 PM,1:15:00 PM,B203,
MECA442,1,Microcontrollers for Mechatronics,3,Ahmad Koubeissi,M W T,9:30:00 AM,2:55:00 PM,H104/MECALAB,
MECA442,2,Microcontrollers for Mechatronics,3,Ahmad Koubeissi,M W R,9:30:00 AM,2:55:00 PM,H104/MECALAB,
MECA444,1,Mechatronics Systems Programming,3,Ahmad Koubeissi,T R,8:00:00 AM,9:15:00 AM,H102,
MECA485,1,Autotronics,3,Maya Maatouk,M W,12:30:00 PM,1:45:00 PM,H005,
MECA498VII,1,Special Topics in Mechatronics Engineering,3,Maya Maatouk,M W,11:00:00 AM,12:15:00 PM,H005,
MECA499,1,Co-op Work Experience,1,Placement Office Coop and,,,,,
MECA541,1,CAD/CAM/CAE,3,Mohammad AlKaderi,M W,2:00:00 PM,3:15:00 PM,C Lab IV,
MECA595A,1,BE Summative Learning Project I,3,Nadim Diab,,,,,
MECA685IV,1,Advanced Topics in Mechatronics Engineering,3,Bassam Moslem,M W,3:30:00 PM,4:45:00 PM,H103,
MECH200,1,Introduction to Mechanical Engineering,3,Mohammad AlKaderi,T R,9:30:00 AM,10:45:00 AM,MECALAB,
MECH220,1,Dynamics,3,Nadim Diab,M W,9:30:00 AM,10:45:00 AM,H005,
MECH320,1,Mechanics of Materials,3,Ahmad Chaaban,M W,8:00:00 AM,9:15:00 AM,B204,
MECH320,2,Mechanics of Materials,3,Ahmad Chaaban,T R,8:00:00 AM,9:15:00 AM,B204,
MECH320L,1,Mechanics of Materials Lab,1,Ahmad Chaaban,T,3:00:00 PM,4:40:00 PM,Mech Lab,
MECH320L,2,Mechanics of Materials Lab,1,Mohammad AlKaderi,R,1:20:00 PM,2:55:00 PM,Mech Lab,
MECH320L,3,Mechanics of Materials Lab,1,Mohammad AlKaderi,R,3:00:00 PM,4:40:00 PM,Mech Lab,
MECH321,1,Mechanisms & Dynamics of Machinery,3,Nadim Diab,M W,2:00:00 PM,3:15:00 PM,B204,
MECH321,2,Mechanisms & Dynamics of Machinery,3,Nadim Diab,T R,12:00:00 PM,1:15:00 PM,B204,
MECH330,1,Thermodynamics I,3,Manar Younis,M W,12:30:00 PM,1:45:00 PM,H004,
MECH421,1,Mechanical Design I,3,Ahmad Chaaban,T R,9:30:00 AM,10:45:00 AM,B204,
MECH422,1,Manufacturing Processes,3,Ahmad Chaaban,M W,11:00:00 AM,12:15:00 PM,B203,
MECH431,1,Heat Transfer,3,Manar Younis,T R,1:30:00 PM,2:45:00 PM,H005,
MECH435,1,HVAC,3,Manar Younis,M W,11:00:00 AM,12:15:00 PM,H004,
MECH453,1,Buildings and Energy,3,Manar Younis,T R,9:30:00 AM,10:45:00 AM,H002,
MECH499,1,Co-op Work Experience,1,Placement Office Coop and,,,,,
